date,start_date,end_date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,Disaster Type
"DatetimeIndex(['1992-04-17 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1992-04-18,1992-04-18,63.0,31.05,23.85,28.214579,7.2,7.2,30.113304,45.0,184.68877,23.32,Flood
"DatetimeIndex(['1992-06-21 18:00:00+00:00', '1992-06-22 18:00:00+00:00',
               '1992-06-23 18:00:00+00:00', '1992-06-24 18:00:00+00:00',
               '1992-06-25 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1992-06-22,1992-06-26,63.0,27.700003,25.6,26.475836,62.920006,62.920006,33.929787,52.416004,176.60263,8.638,Flood
"DatetimeIndex(['1992-07-10 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1992-07-11,1992-07-11,65.0,26.4,25.2,25.562502,80.1,80.1,43.70257,70.2,159.07935,5.44,Flood
"DatetimeIndex(['1992-01-30 18:00:00+00:00', '1992-01-31 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1992-01-31,1992-02-01,28.0,24.55,16.95,20.569792,1.5500002,1.5500002,13.955,22.14,225.43959,16.7,Storm
"DatetimeIndex(['1992-04-21 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1992-04-22,1992-04-22,51.0,30.95,26.8,28.404167,0.3,0.3,27.729347,41.760002,190.26715,22.98,Storm
"DatetimeIndex(['1993-01-11 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-01-12,1993-01-12,1.0,24.3,17.65,20.689583,0.0,0.0,11.119281,16.919998,321.25656,15.64,Storm
"DatetimeIndex(['1993-06-03 18:00:00+00:00', '1993-06-04 18:00:00+00:00',
               '1993-06-05 18:00:00+00:00', '1993-06-06 18:00:00+00:00',
               '1993-06-07 18:00:00+00:00', '1993-06-08 18:00:00+00:00',
               '1993-06-09 18:00:00+00:00', '1993-06-10 18:00:00+00:00',
               '1993-06-11 18:00:00+00:00', '1993-06-12 18:00:00+00:00',
               '1993-06-13 18:00:00+00:00', '1993-06-14 18:00:00+00:00',
               '1993-06-15 18:00:00+00:00', '1993-06-16 18:00:00+00:00',
               '1993-06-17 18:00:00+00:00', '1993-06-18 18:00:00+00:00',
               '1993-06-19 18:00:00+00:00', '1993-06-20 18:00:00+00:00',
               '1993-06-21 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1993-06-04,1993-06-22,59.736843,28.802631,25.736841,27.01217,26.842108,26.842108,30.569294,46.70526,165.88289,14.180526,Flood
"DatetimeIndex(['1993-06-30 18:00:00+00:00', '1993-07-01 18:00:00+00:00',
               '1993-07-02 18:00:00+00:00', '1993-07-03 18:00:00+00:00',
               '1993-07-04 18:00:00+00:00', '1993-07-05 18:00:00+00:00',
               '1993-07-06 18:00:00+00:00', '1993-07-07 18:00:00+00:00',
               '1993-07-08 18:00:00+00:00', '1993-07-09 18:00:00+00:00',
               '1993-07-10 18:00:00+00:00', '1993-07-11 18:00:00+00:00',
               '1993-07-12 18:00:00+00:00', '1993-07-13 18:00:00+00:00',
               '1993-07-14 18:00:00+00:00', '1993-07-15 18:00:00+00:00',
               '1993-07-16 18:00:00+00:00', '1993-07-17 18:00:00+00:00',
               '1993-07-18 18:00:00+00:00', '1993-07-19 18:00:00+00:00',
               '1993-07-20 18:00:00+00:00', '1993-07-21 18:00:00+00:00',
               '1993-07-22 18:00:00+00:00', '1993-07-23 18:00:00+00:00',
               '1993-07-24 18:00:00+00:00', '1993-07-25 18:00:00+00:00',
               '1993-07-26 18:00:00+00:00', '1993-07-27 18:00:00+00:00',
               '1993-07-28 18:00:00+00:00', '1993-07-29 18:00:00+00:00',
               '1993-07-30 18:00:00+00:00', '1993-07-31 18:00:00+00:00',
               '1993-08-01 18:00:00+00:00', '1993-08-02 18:00:00+00:00',
               '1993-08-03 18:00:00+00:00', '1993-08-04 18:00:00+00:00',
               '1993-08-05 18:00:00+00:00', '1993-08-06 18:00:00+00:00',
               '1993-08-07 18:00:00+00:00', '1993-08-08 18:00:00+00:00',
               '1993-08-09 18:00:00+00:00', '1993-08-10 18:00:00+00:00',
               '1993-08-11 18:00:00+00:00', '1993-08-12 18:00:00+00:00',
               '1993-08-13 18:00:00+00:00', '1993-08-14 18:00:00+00:00',
               '1993-08-15 18:00:00+00:00', '1993-08-16 18:00:00+00:00',
               '1993-08-17 18:00:00+00:00', '1993-08-18 18:00:00+00:00',
               '1993-08-19 18:00:00+00:00', '1993-08-20 18:00:00+00:00',
               '1993-08-21 18:00:00+00:00', '1993-08-22 18:00:00+00:00',
               '1993-08-23 18:00:00+00:00', '1993-08-24 18:00:00+00:00',
               '1993-08-25 18:00:00+00:00', '1993-08-26 18:00:00+00:00',
               '1993-08-27 18:00:00+00:00', '1993-08-28 18:00:00+00:00',
               '1993-08-29 18:00:00+00:00', '1993-08-30 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1993-07-01,1993-08-31,57.30645,28.64113,25.694351,26.827925,18.088709,18.088709,28.439758,43.229027,165.83539,14.468226,Flood
"DatetimeIndex(['1993-05-12 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-05-13,1993-05-13,61.0,30.7,25.45,28.045832,5.7999997,5.7999997,27.343414,41.399998,180.35367,21.39,Storm
"DatetimeIndex(['1993-01-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-01-09,1993-01-09,2.0,23.7,15.85,19.825,0.0,0.0,9.585739,16.199999,187.75418,16.17,Storm
"DatetimeIndex(['1993-02-18 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-02-19,1993-02-19,61.0,23.1,21.6,22.36875,27.0,27.0,31.193535,43.56,169.43578,10.18,Storm
"DatetimeIndex(['1993-03-26 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-03-27,1993-03-27,63.0,25.55,23.0,24.058332,36.2,36.2,23.966375,38.88,190.8601,9.75,Storm
"DatetimeIndex(['1993-05-06 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-05-07,1993-05-07,63.0,29.9,24.7,26.956251,15.000001,15.000001,33.27031,54.36,176.42128,19.36,Storm
"DatetimeIndex(['1993-05-16 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-05-17,1993-05-17,51.0,29.6,26.85,28.075005,2.1000001,2.1000001,30.244286,44.639996,178.81425,19.78,Storm
"DatetimeIndex(['1993-08-20 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-08-21,1993-08-21,63.0,26.45,25.7,26.064583,59.3,59.3,40.862774,58.32,176.25291,4.44,Flood
"DatetimeIndex(['1993-05-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1993-05-09,1993-05-09,63.0,29.0,23.8,26.066666,12.299999,12.299999,20.883104,30.960001,169.10347,15.24,Storm
"DatetimeIndex(['1994-05-01 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1994-05-02,1994-05-02,51.0,30.15,26.85,27.699999,1.0,1.0,26.081993,33.48,19.369846,8.9,Storm
"DatetimeIndex(['1994-05-18 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1994-05-19,1994-05-19,51.0,30.85,25.8,28.285416,2.0,2.0,15.0038395,27.0,211.36217,20.88,Flood
"DatetimeIndex(['1994-05-31 18:00:00+00:00', '1994-06-01 18:00:00+00:00',
               '1994-06-02 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1994-06-01,1994-06-03,54.333332,30.866667,27.183334,28.800695,2.8000002,2.8000002,26.458464,39.12,173.68498,21.936666,Flood
"DatetimeIndex(['1994-04-18 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1994-04-19,1994-04-19,63.0,27.35,22.65,24.987501,35.1,35.1,23.584808,40.32,172.86049,12.54,Flood
"DatetimeIndex(['1994-03-27 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1994-03-28,1994-03-28,65.0,25.95,21.55,23.443754,40.300003,40.300003,26.7565,46.44,160.57718,9.77,Storm
"DatetimeIndex(['1994-04-18 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1994-04-19,1994-04-19,63.0,27.35,22.65,24.987501,35.1,35.1,23.584808,40.32,172.86049,12.54,Storm
"DatetimeIndex(['1994-05-17 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1994-05-18,1994-05-18,63.0,30.9,25.8,27.933329,9.2,9.2,16.800856,24.84,182.28658,22.69,Storm
"DatetimeIndex(['1994-08-18 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1994-08-19,1994-08-19,61.0,27.9,25.45,26.45833,16.5,16.5,24.464113,38.519997,161.22421,13.77,Flood
"DatetimeIndex(['1995-06-15 18:00:00+00:00', '1995-06-16 18:00:00+00:00',
               '1995-06-17 18:00:00+00:00', '1995-06-18 18:00:00+00:00',
               '1995-06-19 18:00:00+00:00', '1995-06-20 18:00:00+00:00',
               '1995-06-21 18:00:00+00:00', '1995-06-22 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1995-06-16,1995-06-23,61.0,29.28125,25.99375,27.260414,16.975,16.975,31.936163,47.699997,167.14975,16.5375,Flood
"DatetimeIndex(['1995-05-16 18:00:00+00:00', '1995-05-17 18:00:00+00:00',
               '1995-05-18 18:00:00+00:00', '1995-05-19 18:00:00+00:00',
               '1995-05-20 18:00:00+00:00', '1995-05-21 18:00:00+00:00',
               '1995-05-22 18:00:00+00:00', '1995-05-23 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1995-05-17,1995-05-24,34.875,29.9625,26.943748,28.20547,19.525,19.525,30.675823,45.54,186.5083,20.185,Flood
"DatetimeIndex(['1995-04-11 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1995-04-12,1995-04-12,51.0,31.45,25.25,28.133331,0.4,0.4,23.358423,33.12,207.30162,23.09,Storm
"DatetimeIndex(['1995-04-11 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1995-04-12,1995-04-12,51.0,31.45,25.25,28.133331,0.4,0.4,23.358423,33.12,207.30162,23.09,Storm
"DatetimeIndex(['1995-05-14 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1995-05-15,1995-05-15,61.0,28.15,25.25,26.518747,19.300001,19.300001,41.23532,63.72,148.70941,12.86,Flood
"DatetimeIndex(['1995-09-28 18:00:00+00:00', '1995-09-29 18:00:00+00:00',
               '1995-09-30 18:00:00+00:00', '1995-10-01 18:00:00+00:00',
               '1995-10-02 18:00:00+00:00', '1995-10-03 18:00:00+00:00',
               '1995-10-04 18:00:00+00:00', '1995-10-05 18:00:00+00:00',
               '1995-10-06 18:00:00+00:00', '1995-10-07 18:00:00+00:00',
               '1995-10-08 18:00:00+00:00', '1995-10-09 18:00:00+00:00',
               '1995-10-10 18:00:00+00:00', '1995-10-11 18:00:00+00:00',
               '1995-10-12 18:00:00+00:00', '1995-10-13 18:00:00+00:00',
               '1995-10-14 18:00:00+00:00', '1995-10-15 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1995-09-29,1995-10-16,51.11111,29.694445,25.16111,27.197685,3.1111112,3.1111112,12.462166,20.739998,187.85248,17.352776,Flood
"DatetimeIndex(['1995-11-24 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1995-11-25,1995-11-25,63.0,24.3,21.1,22.041666,61.699997,61.699997,47.46542,105.84,41.456833,2.48,Storm
"DatetimeIndex(['1995-05-14 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1995-05-15,1995-05-15,61.0,28.15,25.25,26.518747,19.300001,19.300001,41.23532,63.72,148.70941,12.86,Storm
"DatetimeIndex(['1996-07-18 18:00:00+00:00', '1996-07-19 18:00:00+00:00',
               '1996-07-20 18:00:00+00:00', '1996-07-21 18:00:00+00:00',
               '1996-07-22 18:00:00+00:00', '1996-07-23 18:00:00+00:00',
               '1996-07-24 18:00:00+00:00', '1996-07-25 18:00:00+00:00',
               '1996-07-26 18:00:00+00:00', '1996-07-27 18:00:00+00:00',
               '1996-07-28 18:00:00+00:00', '1996-07-29 18:00:00+00:00',
               '1996-07-30 18:00:00+00:00', '1996-07-31 18:00:00+00:00',
               '1996-08-01 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1996-07-19,1996-08-02,59.4,28.396666,25.656666,26.741524,19.393335,19.393335,27.762373,40.872005,283.53693,12.972,Flood
"DatetimeIndex(['1996-08-25 18:00:00+00:00', '1996-08-26 18:00:00+00:00',
               '1996-08-27 18:00:00+00:00', '1996-08-28 18:00:00+00:00',
               '1996-08-29 18:00:00+00:00', '1996-08-30 18:00:00+00:00',
               '1996-08-31 18:00:00+00:00', '1996-09-01 18:00:00+00:00',
               '1996-09-02 18:00:00+00:00', '1996-09-03 18:00:00+00:00',
               '1996-09-04 18:00:00+00:00', '1996-09-05 18:00:00+00:00',
               '1996-09-06 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1996-08-26,1996-09-07,57.46154,28.873075,25.08846,26.576763,9.023077,9.023077,21.218464,31.873844,277.97244,16.452309,Flood
"DatetimeIndex(['1996-05-11 18:00:00+00:00', '1996-05-12 18:00:00+00:00',
               '1996-05-13 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1996-05-12,1996-05-14,60.333332,30.533333,25.699999,28.184023,12.900002,12.900002,32.97851,49.079998,271.3628,21.39,Storm
"DatetimeIndex(['1996-10-28 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1996-10-29,1996-10-29,61.0,25.55,24.6,24.995832,37.600006,37.600006,44.173042,64.079994,286.6536,3.59,Storm
"DatetimeIndex(['1996-07-26 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1996-07-27,1996-07-27,63.0,26.0,24.7,25.391668,31.100002,31.100002,24.344624,35.64,266.3119,4.56,Storm
"DatetimeIndex(['1996-04-22 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1996-04-23,1996-04-23,51.0,30.5,26.85,28.404167,1.8000001,1.8000001,26.200977,36.0,255.03549,23.44,Storm
"DatetimeIndex(['1997-10-11 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1997-10-12,1997-10-12,0.0,30.0,24.95,27.220835,0.0,0.0,12.10157,20.16,332.54333,20.65,Storm
"DatetimeIndex(['1997-07-12 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1997-07-13,1997-07-13,53.0,28.75,25.45,26.779165,6.599999,6.599999,24.119999,37.079998,166.05293,13.81,Flood
"DatetimeIndex(['1997-05-17 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1997-05-18,1997-05-18,63.0,28.7,25.1,26.88958,11.400002,11.400002,12.181624,29.519999,94.73216,6.63,Storm
"DatetimeIndex(['1997-09-25 18:00:00+00:00', '1997-09-26 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1997-09-26,1997-09-27,63.0,26.349998,24.65,25.595835,60.899998,60.899998,48.746155,86.94,172.11447,4.855,Storm
"DatetimeIndex(['1997-01-20 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1997-01-21,1997-01-21,51.0,18.7,15.6,17.297916,1.3000001,1.3000001,8.654986,16.56,95.19437,3.34,Extreme temperature 
"DatetimeIndex(['1997-05-30 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1997-05-31,1997-05-31,61.0,30.35,25.6,27.549997,3.1000001,3.1000001,17.208603,24.48,165.23604,22.49,Epidemic
"DatetimeIndex(['1997-03-22 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1997-03-23,1997-03-23,65.0,26.35,22.5,24.441666,18.7,18.7,25.02971,37.8,162.88771,14.56,Storm
"DatetimeIndex(['1997-08-26 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1997-08-27,1997-08-27,61.0,29.8,26.55,27.8125,5.0,5.0,25.537172,39.6,154.19763,13.78,Storm
"DatetimeIndex(['1998-07-04 18:00:00+00:00', '1998-07-05 18:00:00+00:00',
               '1998-07-06 18:00:00+00:00', '1998-07-07 18:00:00+00:00',
               '1998-07-08 18:00:00+00:00', '1998-07-09 18:00:00+00:00',
               '1998-07-10 18:00:00+00:00', '1998-07-11 18:00:00+00:00',
               '1998-07-12 18:00:00+00:00', '1998-07-13 18:00:00+00:00',
               '1998-07-14 18:00:00+00:00', '1998-07-15 18:00:00+00:00',
               '1998-07-16 18:00:00+00:00', '1998-07-17 18:00:00+00:00',
               '1998-07-18 18:00:00+00:00', '1998-07-19 18:00:00+00:00',
               '1998-07-20 18:00:00+00:00', '1998-07-21 18:00:00+00:00',
               '1998-07-22 18:00:00+00:00', '1998-07-23 18:00:00+00:00',
               '1998-07-24 18:00:00+00:00', '1998-07-25 18:00:00+00:00',
               '1998-07-26 18:00:00+00:00', '1998-07-27 18:00:00+00:00',
               '1998-07-28 18:00:00+00:00', '1998-07-29 18:00:00+00:00',
               '1998-07-30 18:00:00+00:00', '1998-07-31 18:00:00+00:00',
               '1998-08-01 18:00:00+00:00', '1998-08-02 18:00:00+00:00',
               '1998-08-03 18:00:00+00:00', '1998-08-04 18:00:00+00:00',
               '1998-08-05 18:00:00+00:00', '1998-08-06 18:00:00+00:00',
               '1998-08-07 18:00:00+00:00', '1998-08-08 18:00:00+00:00',
               '1998-08-09 18:00:00+00:00', '1998-08-10 18:00:00+00:00',
               '1998-08-11 18:00:00+00:00', '1998-08-12 18:00:00+00:00',
               '1998-08-13 18:00:00+00:00', '1998-08-14 18:00:00+00:00',
               '1998-08-15 18:00:00+00:00', '1998-08-16 18:00:00+00:00',
               '1998-08-17 18:00:00+00:00', '1998-08-18 18:00:00+00:00',
               '1998-08-19 18:00:00+00:00', '1998-08-20 18:00:00+00:00',
               '1998-08-21 18:00:00+00:00', '1998-08-22 18:00:00+00:00',
               '1998-08-23 18:00:00+00:00', '1998-08-24 18:00:00+00:00',
               '1998-08-25 18:00:00+00:00', '1998-08-26 18:00:00+00:00',
               '1998-08-27 18:00:00+00:00', '1998-08-28 18:00:00+00:00',
               '1998-08-29 18:00:00+00:00', '1998-08-30 18:00:00+00:00',
               '1998-08-31 18:00:00+00:00', '1998-09-01 18:00:00+00:00',
               '1998-09-02 18:00:00+00:00', '1998-09-03 18:00:00+00:00',
               '1998-09-04 18:00:00+00:00', '1998-09-05 18:00:00+00:00',
               '1998-09-06 18:00:00+00:00', '1998-09-07 18:00:00+00:00',
               '1998-09-08 18:00:00+00:00', '1998-09-09 18:00:00+00:00',
               '1998-09-10 18:00:00+00:00', '1998-09-11 18:00:00+00:00',
               '1998-09-12 18:00:00+00:00', '1998-09-13 18:00:00+00:00',
               '1998-09-14 18:00:00+00:00', '1998-09-15 18:00:00+00:00',
               '1998-09-16 18:00:00+00:00', '1998-09-17 18:00:00+00:00',
               '1998-09-18 18:00:00+00:00', '1998-09-19 18:00:00+00:00',
               '1998-09-20 18:00:00+00:00', '1998-09-21 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1998-07-05,1998-09-22,57.75,28.523127,25.69875,26.845936,21.102499,21.102499,24.690098,37.795498,171.54138,13.233874,Flood
"DatetimeIndex(['1998-05-19 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1998-05-20,1998-05-20,65.0,28.25,25.3,26.564589,110.899994,110.899994,44.436306,78.12,287.51096,3.84,Storm
"DatetimeIndex(['1998-11-24 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1998-11-25,1998-11-25,51.0,27.1,23.6,25.168749,1.5000001,1.5000001,13.084402,22.319998,359.0776,11.19,Storm
"DatetimeIndex(['1998-01-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1998-01-09,1998-01-09,0.0,22.6,14.75,18.345833,0.0,0.0,16.394829,23.759998,336.45694,17.46,Extreme temperature 
"DatetimeIndex(['1998-04-22 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1998-04-23,1998-04-23,65.0,27.45,23.1,24.497917,112.4,112.4,31.82082,52.92,161.46938,7.89,Storm
"DatetimeIndex(['1998-07-07 18:00:00+00:00', '1998-07-08 18:00:00+00:00',
               '1998-07-09 18:00:00+00:00', '1998-07-10 18:00:00+00:00',
               '1998-07-11 18:00:00+00:00', '1998-07-12 18:00:00+00:00',
               '1998-07-13 18:00:00+00:00', '1998-07-14 18:00:00+00:00',
               '1998-07-15 18:00:00+00:00', '1998-07-16 18:00:00+00:00',
               '1998-07-17 18:00:00+00:00', '1998-07-18 18:00:00+00:00',
               '1998-07-19 18:00:00+00:00', '1998-07-20 18:00:00+00:00',
               '1998-07-21 18:00:00+00:00', '1998-07-22 18:00:00+00:00',
               '1998-07-23 18:00:00+00:00', '1998-07-24 18:00:00+00:00',
               '1998-07-25 18:00:00+00:00', '1998-07-26 18:00:00+00:00',
               '1998-07-27 18:00:00+00:00', '1998-07-28 18:00:00+00:00',
               '1998-07-29 18:00:00+00:00', '1998-07-30 18:00:00+00:00',
               '1998-07-31 18:00:00+00:00', '1998-08-01 18:00:00+00:00',
               '1998-08-02 18:00:00+00:00', '1998-08-03 18:00:00+00:00',
               '1998-08-04 18:00:00+00:00', '1998-08-05 18:00:00+00:00',
               '1998-08-06 18:00:00+00:00', '1998-08-07 18:00:00+00:00',
               '1998-08-08 18:00:00+00:00', '1998-08-09 18:00:00+00:00',
               '1998-08-10 18:00:00+00:00', '1998-08-11 18:00:00+00:00',
               '1998-08-12 18:00:00+00:00', '1998-08-13 18:00:00+00:00',
               '1998-08-14 18:00:00+00:00', '1998-08-15 18:00:00+00:00',
               '1998-08-16 18:00:00+00:00', '1998-08-17 18:00:00+00:00',
               '1998-08-18 18:00:00+00:00', '1998-08-19 18:00:00+00:00',
               '1998-08-20 18:00:00+00:00', '1998-08-21 18:00:00+00:00',
               '1998-08-22 18:00:00+00:00', '1998-08-23 18:00:00+00:00',
               '1998-08-24 18:00:00+00:00', '1998-08-25 18:00:00+00:00',
               '1998-08-26 18:00:00+00:00', '1998-08-27 18:00:00+00:00',
               '1998-08-28 18:00:00+00:00', '1998-08-29 18:00:00+00:00',
               '1998-08-30 18:00:00+00:00', '1998-08-31 18:00:00+00:00',
               '1998-09-01 18:00:00+00:00', '1998-09-02 18:00:00+00:00',
               '1998-09-03 18:00:00+00:00', '1998-09-04 18:00:00+00:00',
               '1998-09-05 18:00:00+00:00', '1998-09-06 18:00:00+00:00',
               '1998-09-07 18:00:00+00:00', '1998-09-08 18:00:00+00:00',
               '1998-09-09 18:00:00+00:00', '1998-09-10 18:00:00+00:00',
               '1998-09-11 18:00:00+00:00', '1998-09-12 18:00:00+00:00',
               '1998-09-13 18:00:00+00:00', '1998-09-14 18:00:00+00:00',
               '1998-09-15 18:00:00+00:00', '1998-09-16 18:00:00+00:00',
               '1998-09-17 18:00:00+00:00', '1998-09-18 18:00:00+00:00',
               '1998-09-19 18:00:00+00:00', '1998-09-20 18:00:00+00:00',
               '1998-09-21 18:00:00+00:00', '1998-09-22 18:00:00+00:00',
               '1998-09-23 18:00:00+00:00', '1998-09-24 18:00:00+00:00',
               '1998-09-25 18:00:00+00:00', '1998-09-26 18:00:00+00:00',
               '1998-09-27 18:00:00+00:00', '1998-09-28 18:00:00+00:00',
               '1998-09-29 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1998-07-08,1998-09-30,56.635296,28.797056,25.742353,26.991179,17.131765,17.131765,22.994038,35.563763,168.95795,14.05812,Epidemic
"DatetimeIndex(['1998-03-22 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1998-03-23,1998-03-23,53.0,28.85,24.85,26.452087,1.1,1.1,31.68,47.519997,172.86223,18.56,Storm
"DatetimeIndex(['1998-07-02 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1998-07-03,1998-07-03,61.0,27.25,26.1,26.610415,27.800001,27.800001,34.22841,49.32,161.063,6.26,Storm
"DatetimeIndex(['1999-08-10 18:00:00+00:00', '1999-08-11 18:00:00+00:00',
               '1999-08-12 18:00:00+00:00', '1999-08-13 18:00:00+00:00',
               '1999-08-14 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1999-08-11,1999-08-15,61.0,26.62,25.1,25.77625,43.1,43.1,25.628857,38.016,183.36523,7.045999,Flood
"DatetimeIndex(['1999-04-09 18:00:00+00:00', '1999-04-10 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1999-04-10,1999-04-11,51.0,30.75,24.675,27.439583,0.6,0.6,19.04426,28.259998,210.61644,23.0,Flood
"DatetimeIndex(['1999-04-06 18:00:00+00:00', '1999-04-07 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1999-04-07,1999-04-08,53.0,30.475,25.25,27.33021,3.15,3.15,17.90054,27.179998,195.72655,22.04,Storm
"DatetimeIndex(['1999-04-29 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1999-04-30,1999-04-30,2.0,32.75,28.35,30.183336,0.0,0.0,31.910301,48.6,187.98984,23.5,Storm
"DatetimeIndex(['1999-03-25 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1999-03-26,1999-03-26,51.0,30.1,25.25,27.46875,0.5,0.5,27.897097,40.68,188.79927,21.12,Storm
"DatetimeIndex(['1999-07-10 18:00:00+00:00', '1999-07-11 18:00:00+00:00',
               '1999-07-12 18:00:00+00:00', '1999-07-13 18:00:00+00:00',
               '1999-07-14 18:00:00+00:00', '1999-07-15 18:00:00+00:00',
               '1999-07-16 18:00:00+00:00', '1999-07-17 18:00:00+00:00',
               '1999-07-18 18:00:00+00:00', '1999-07-19 18:00:00+00:00',
               '1999-07-20 18:00:00+00:00', '1999-07-21 18:00:00+00:00',
               '1999-07-22 18:00:00+00:00', '1999-07-23 18:00:00+00:00',
               '1999-07-24 18:00:00+00:00', '1999-07-25 18:00:00+00:00',
               '1999-07-26 18:00:00+00:00', '1999-07-27 18:00:00+00:00',
               '1999-07-28 18:00:00+00:00', '1999-07-29 18:00:00+00:00',
               '1999-07-30 18:00:00+00:00', '1999-07-31 18:00:00+00:00',
               '1999-08-01 18:00:00+00:00', '1999-08-02 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1999-07-11,1999-08-03,58.583332,28.637499,25.583334,26.778387,15.945834,15.945834,28.198713,42.164997,159.77905,14.203334,Flood
"DatetimeIndex(['1999-10-24 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1999-10-25,1999-10-25,2.0,30.55,25.1,27.450003,0.0,0.0,13.75558,25.199999,352.31116,18.22,Storm
"DatetimeIndex(['1999-04-09 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1999-04-10,1999-04-10,51.0,30.3,24.55,27.014582,0.90000004,0.90000004,18.681883,27.0,208.7325,22.96,Storm
