date,start_date,end_date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,Disaster Type
"DatetimeIndex(['1976-06-14 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1976-06-15,1976-06-15,63.0,29.75,25.35,27.058329,19.8,19.8,27.219902,40.32,283.7961,18.3,Flood
"DatetimeIndex(['1977-10-05 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1977-10-06,1977-10-06,51.0,28.95,25.5,26.90417,2.0,2.0,12.594856,23.039999,259.63968,17.58,Storm
"DatetimeIndex(['1977-04-23 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1977-04-24,1977-04-24,51.0,30.6,25.35,27.86875,0.2,0.2,17.148247,26.28,244.96434,23.86,Storm
"DatetimeIndex(['1977-03-31 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1977-04-01,1977-04-01,51.0,30.6,26.25,28.145834,0.6,0.6,34.763775,53.28,267.6727,20.4,Storm
"DatetimeIndex(['1977-10-12 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1977-10-13,1977-10-13,61.0,28.5,24.15,25.960419,6.1,6.1,7.491114,16.919998,143.42694,16.91,Flood
"DatetimeIndex(['1978-04-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1978-04-09,1978-04-09,0.0,32.9,22.8,27.927084,0.0,0.0,18.359999,27.0,159.93022,26.4,Storm
"DatetimeIndex(['1978-05-04 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1978-05-05,1978-05-05,2.0,30.9,25.35,28.510414,0.0,0.0,15.379206,27.0,222.52428,20.8,Storm
"DatetimeIndex(['1979-05-01 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1979-05-02,1979-05-02,63.0,29.1,24.75,26.866667,34.1,34.1,28.696312,47.88,178.0489,13.72,Storm
"DatetimeIndex(['1979-08-16 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1979-08-17,1979-08-17,53.0,28.75,25.4,26.847914,6.5000005,6.5000005,23.023119,37.079998,175.68666,18.09,Storm
"DatetimeIndex(['1981-04-14 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1981-04-15,1981-04-15,61.0,27.9,23.45,25.093752,9.5,9.5,19.011953,33.839996,168.85223,18.43,Storm
"DatetimeIndex(['1981-12-10 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1981-12-11,1981-12-11,63.0,24.55,21.8,23.231249,14.1,14.1,36.17955,61.56,189.77357,9.21,Storm
"DatetimeIndex(['1981-03-05 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1981-03-06,1981-03-06,0.0,30.0,19.5,24.922918,0.0,0.0,15.646544,25.199999,297.96603,23.51,Storm
"DatetimeIndex(['1982-09-06 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1982-09-07,1982-09-07,53.0,30.45,25.8,27.820831,2.5,2.5,12.620554,22.319998,154.79085,19.89,Flood
